Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
276,tt0264508,2018-04-14,2018-04-14,,Dagon,https://www.imdb.com/title/tt0264508/,movie,6.2,98,2001,"Fantasy, Horror, Mystery",20510,2001-10-12,Stuart Gordon
277,tt0256009,2018-04-14,2018-04-14,,El espinazo del diablo,https://www.imdb.com/title/tt0256009/,movie,7.4,106,2001,"Drama, Horror, Thriller",70020,2001-04-20,Guillermo del Toro
278,tt0264616,2018-04-14,2018-04-14,,Frailty,https://www.imdb.com/title/tt0264616/,movie,7.2,100,2001,"Crime, Drama, Thriller",89135,2001-11-17,Bill Paxton
279,tt0304262,2018-04-14,2018-04-14,,Katakuri-ke no kôfuku,https://www.imdb.com/title/tt0304262/,movie,6.9,113,2001,"Comedy, Fantasy, Horror, Musical",9900,2001-10-31,Takashi Miike
280,tt0296042,2018-04-14,2018-04-14,,Koroshiya 1,https://www.imdb.com/title/tt0296042/,movie,7.0,129,2001,"Action, Crime, Drama",59090,2001-09-14,Takashi Miike
281,tt0307109,2018-04-14,2018-04-14,,The Lost Skeleton of Cadavra,https://www.imdb.com/title/tt0307109/,movie,6.8,90,2001,"Comedy, Horror, Sci-Fi",5052,2001-09-30,Larry Blamire
282,tt0230600,2018-04-14,2018-04-14,,The Others,https://www.imdb.com/title/tt0230600/,movie,7.6,101,2001,"Horror, Mystery, Thriller",385897,2001-08-02,Alejandro Amenábar
283,tt0286751,2018-04-14,2018-04-14,,Kairo,https://www.imdb.com/title/tt0286751/,movie,6.5,119,2001,"Horror, Mystery, Sci-Fi, Thriller",24473,2001-02-03,Kiyoshi Kurosawa
284,tt0312843,2018-04-14,2018-04-14,,Jisatsu sâkuru,https://www.imdb.com/title/tt0312843/,movie,6.5,99,2001,"Crime, Drama, Horror, Mystery, Thriller",21788,2001-10-29,Sion Sono
285,tt0261983,2018-04-14,2018-04-14,,Session 9,https://www.imdb.com/title/tt0261983/,movie,6.4,100,2001,"Drama, Horror, Mystery",61982,2001-07-31,Brad Anderson
286,tt0144084,2018-04-14,2018-04-14,,American Psycho,https://www.imdb.com/title/tt0144084/,movie,7.6,102,2000,"Crime, Drama, Horror",685454,2000-01-21,Mary Harron
287,tt0266308,2018-04-14,2018-04-14,,Batoru rowaiaru,https://www.imdb.com/title/tt0266308/,movie,7.5,114,2000,"Action, Adventure, Drama, Thriller",191543,2000-10-31,Kinji Fukasaku
288,tt0209958,2018-04-14,2018-04-14,,The Cell,https://www.imdb.com/title/tt0209958/,movie,6.4,107,2000,"Crime, Horror, Sci-Fi, Thriller",107412,2000-08-17,Tarsem Singh
289,tt0212879,2018-04-14,2018-04-14,,Citizen Toxie: The Toxic Avenger IV,https://www.imdb.com/title/tt0212879/,movie,5.9,109,2000,"Action, Comedy, Fantasy, Horror, Sci-Fi",6068,2000-10-08,Lloyd Kaufman
290,tt0255067,2018-04-14,2018-04-14,,La comunidad,https://www.imdb.com/title/tt0255067/,movie,7.2,110,2000,"Comedy, Crime, Mystery, Thriller",12682,2000-09-21,Álex de la Iglesia
291,tt0195714,2018-04-14,2018-04-14,,Final Destination,https://www.imdb.com/title/tt0195714/,movie,6.7,98,2000,"Horror, Thriller",273565,2000-03-16,James Wong
292,tt0210070,2018-04-14,2018-04-14,,Ginger Snaps,https://www.imdb.com/title/tt0210070/,movie,6.8,108,2000,"Drama, Fantasy, Horror, Thriller",51212,2000-08-01,John Fawcett
293,tt0228687,2018-04-14,2018-04-14,,Otesánek,https://www.imdb.com/title/tt0228687/,movie,7.3,132,2000,"Animation, Comedy, Drama, Fantasy, Horror, Thriller",6762,2000-09-07,Jan Svankmajer
294,tt0189998,2018-04-14,2018-04-14,,Shadow of the Vampire,https://www.imdb.com/title/tt0189998/,movie,6.9,92,2000,"Drama, Horror",43615,2000-05-15,E. Elias Merhige
295,tt0244870,2021-04-14,2021-04-14,,Uzumaki,https://www.imdb.com/title/tt0244870/,movie,6.1,90,2000,"Drama, Fantasy, Horror",8811,2000-02-11,Higuchinsky
296,tt0275773,2018-04-14,2018-04-14,,Versus,https://www.imdb.com/title/tt0275773/,movie,6.3,119,2000,"Action, Drama, Fantasy, Horror, Thriller",13596,2000-10-29,Ryûhei Kitamura
