Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
91,tt0380366,2016-07-10,2016-07-10,,Ae Fond Kiss...,https://www.imdb.com/title/tt0380366/,movie,7.1,104,2004,"Drama, Romance",7133,2004-02-13,Ken Loach
92,tt0138097,2016-07-10,2016-07-10,,Shakespeare in Love,https://www.imdb.com/title/tt0138097/,movie,7.1,123,1998,"Comedy, Drama, History, Romance",231712,1998-12-03,John Madden
93,tt0497465,2016-07-10,2016-07-10,,Vicky Cristina Barcelona,https://www.imdb.com/title/tt0497465/,movie,7.1,96,2008,"Comedy, Drama, Romance",265671,2008-05-17,Woody Allen
94,tt0832266,2016-07-10,2016-07-10,,"Definitely, Maybe",https://www.imdb.com/title/tt0832266/,movie,7.1,112,2008,"Comedy, Drama, Romance",171370,2008-01-24,Adam Brooks
95,tt0405422,2016-07-10,2016-07-10,,The 40 Year Old Virgin,https://www.imdb.com/title/tt0405422/,movie,7.1,116,2005,"Comedy, Romance",457897,2005-08-11,Judd Apatow
96,tt0489327,2016-07-10,2016-07-10,,Venus,https://www.imdb.com/title/tt0489327/,movie,7.1,95,2006,"Comedy, Drama, Romance",13331,2006-09-02,Roger Michell
97,tt1714206,2016-07-10,2016-07-10,,The Spectacular Now,https://www.imdb.com/title/tt1714206/,movie,7.0,95,2013,"Drama, Romance",159595,2013-01-18,James Ponsoldt
98,tt0119643,2016-07-10,2016-07-10,,Meet Joe Black,https://www.imdb.com/title/tt0119643/,movie,7.2,178,1998,"Drama, Fantasy, Romance",258029,1998-11-02,Martin Brest
99,tt2935476,2016-07-10,2016-07-10,,Far from the Madding Crowd,https://www.imdb.com/title/tt2935476/,movie,7.1,119,2015,"Drama, Romance",52531,2015-04-15,Thomas Vinterberg
100,tt2486678,2016-07-10,2016-07-10,,5 to 7,https://www.imdb.com/title/tt2486678/,movie,7.1,95,2014,"Comedy, Drama, Romance",21095,2014-04-19,Victor Levin
101,tt2101569,2016-07-10,2016-07-10,,In Your Eyes,https://www.imdb.com/title/tt2101569/,movie,6.9,106,2014,"Fantasy, Romance",31889,2014-04-20,Brin Hill
102,tt2785032,2016-07-10,2016-07-10,,The Little Death,https://www.imdb.com/title/tt2785032/,movie,7.0,96,2014,"Comedy, Drama, Romance",27480,2014-06-13,Josh Lawson
103,tt1282140,2016-07-10,2016-07-10,,Easy A,https://www.imdb.com/title/tt1282140/,movie,7.0,92,2010,"Comedy, Drama, Romance",409360,2010-09-11,Will Gluck
104,tt0452694,2016-07-10,2016-07-10,,The Time Traveler's Wife,https://www.imdb.com/title/tt0452694/,movie,7.1,107,2009,"Comedy, Drama, Fantasy, Romance, Sci-Fi",156018,2009-08-14,Robert Schwentke
105,tt2726560,2016-07-10,2016-07-10,,The Longest Ride,https://www.imdb.com/title/tt2726560/,movie,7.0,123,2015,"Comedy, Drama, Romance, Western",87096,2015-04-03,George Tillman Jr.
106,tt0129387,2016-07-10,2016-07-10,,There's Something About Mary,https://www.imdb.com/title/tt0129387/,movie,7.1,119,1998,"Comedy, Romance",323813,1998-07-15,"Bobby Farrelly, Peter Farrelly"
107,tt0055277,2016-07-10,2016-07-10,,The Parent Trap,https://www.imdb.com/title/tt0055277/,movie,7.2,129,1961,"Comedy, Family, Romance",23357,1961-06-12,David Swift
108,tt0285742,2016-07-10,2016-07-10,,Monster's Ball,https://www.imdb.com/title/tt0285742/,movie,7.1,111,2001,"Drama, Romance",92893,2001-11-11,Marc Forster
109,tt0109831,2016-07-10,2016-07-10,,Four Weddings and a Funeral,https://www.imdb.com/title/tt0109831/,movie,7.1,117,1994,"Comedy, Drama, Romance",161843,1994-01-20,Mike Newell
110,tt0425326,2016-07-10,2016-07-10,,Outsourced,https://www.imdb.com/title/tt0425326/,movie,7.0,103,2006,"Comedy, Drama, Romance",12110,2006-09-12,John Jeffcoat
111,tt1385826,2016-07-10,2016-07-10,,The Adjustment Bureau,https://www.imdb.com/title/tt1385826/,movie,7.0,106,2011,"Crime, Mystery, Romance, Sci-Fi, Thriller",266865,2011-02-14,George Nolfi
112,tt2390361,2016-07-10,2016-07-10,,Enough Said,https://www.imdb.com/title/tt2390361/,movie,7.0,93,2013,"Comedy, Drama, Romance",65436,2013-09-07,Nicole Holofcener
113,tt0473308,2016-07-10,2016-07-10,,Waitress,https://www.imdb.com/title/tt0473308/,movie,7.0,108,2007,"Comedy, Drama, Romance",48248,2007-01-21,Adrienne Shelly
114,tt1155056,2016-07-10,2016-07-10,,"I Love You, Man",https://www.imdb.com/title/tt1155056/,movie,7.0,105,2009,"Comedy, Romance",214493,2009-03-13,John Hamburg
115,tt0482088,2016-07-10,2016-07-10,,Hors de prix,https://www.imdb.com/title/tt0482088/,movie,7.0,106,2006,"Comedy, Romance",32955,2006-11-18,Pierre Salvadori
116,tt0120780,2016-07-10,2016-07-10,,Out of Sight,https://www.imdb.com/title/tt0120780/,movie,7.0,123,1998,"Comedy, Crime, Drama, Romance, Thriller",97336,1998-06-26,Steven Soderbergh
117,tt0125439,2016-07-10,2016-07-10,,Notting Hill,https://www.imdb.com/title/tt0125439/,movie,7.2,124,1999,"Comedy, Drama, Romance",332020,1999-04-27,Roger Michell
118,tt0099653,2016-07-10,2016-07-10,,Ghost,https://www.imdb.com/title/tt0099653/,movie,7.1,127,1990,"Drama, Fantasy, Romance, Thriller",230496,1990-07-13,Jerry Zucker
119,tt1563738,2016-07-10,2016-07-10,,One Day,https://www.imdb.com/title/tt1563738/,movie,7.0,107,2011,"Drama, Romance",160982,2011-08-08,Lone Scherfig
120,tt1661199,2016-07-10,2016-07-10,,Cinderella,https://www.imdb.com/title/tt1661199/,movie,6.9,105,2015,"Adventure, Drama, Family, Fantasy, Romance",186947,2015-02-13,Kenneth Branagh
121,tt0120631,2016-07-10,2016-07-10,,Ever After,https://www.imdb.com/title/tt0120631/,movie,7.1,121,1998,"Drama, Romance",80414,1998-07-29,Andy Tennant
122,tt0088172,2016-07-10,2016-07-10,,Starman,https://www.imdb.com/title/tt0088172/,movie,7.0,115,1984,"Romance, Sci-Fi",50551,1984-12-14,John Carpenter
123,tt1763303,2016-07-10,2016-07-10,,The First Time,https://www.imdb.com/title/tt1763303/,movie,6.8,95,2012,"Comedy, Drama, Romance",72985,2012-01-21,Jonathan Kasdan
124,tt0094898,2016-07-10,2016-07-10,,Coming to America,https://www.imdb.com/title/tt0094898/,movie,7.1,117,1988,"Comedy, Romance",219086,1988-06-26,John Landis
125,tt0107050,2016-07-10,2016-07-10,,Grumpy Old Men,https://www.imdb.com/title/tt0107050/,movie,7.0,103,1993,"Comedy, Drama, Romance",52566,1993-12-25,Donald Petrie
126,tt0100405,2016-07-10,2016-07-10,,Pretty Woman,https://www.imdb.com/title/tt0100405/,movie,7.1,119,1990,"Comedy, Romance",346198,1990-03-23,Garry Marshall
127,tt0088011,2016-07-10,2016-07-10,,Romancing the Stone,https://www.imdb.com/title/tt0088011/,movie,6.9,106,1984,"Action, Adventure, Comedy, Romance",101047,1984-03-24,Robert Zemeckis
128,tt0259711,2016-07-10,2016-07-10,,Vanilla Sky,https://www.imdb.com/title/tt0259711/,movie,6.9,136,2001,"Fantasy, Mystery, Romance, Sci-Fi, Thriller",281321,2001-12-10,Cameron Crowe
129,tt0122459,2016-07-10,2016-07-10,,Return to Me,https://www.imdb.com/title/tt0122459/,movie,6.9,115,2000,"Comedy, Drama, Romance",22241,2000-04-07,Bonnie Hunt
130,tt0102798,2016-07-10,2016-07-10,,Robin Hood: Prince of Thieves,https://www.imdb.com/title/tt0102798/,movie,6.9,143,1991,"Action, Adventure, Drama, Romance",204464,1991-06-14,Kevin Reynolds
131,tt0101316,2016-07-10,2016-07-10,,L'amant,https://www.imdb.com/title/tt0101316/,movie,6.8,115,1992,"Biography, Drama, Romance",23039,1992-01-22,Jean-Jacques Annaud
132,tt0075223,2016-07-10,2016-07-10,,Silver Streak,https://www.imdb.com/title/tt0075223/,movie,6.9,114,1976,"Action, Comedy, Crime, Romance, Thriller",21337,1976-12-03,Arthur Hiller
133,tt0443465,2016-07-10,2016-07-10,,Before We Go,https://www.imdb.com/title/tt0443465/,movie,6.8,95,2014,"Comedy, Drama, Romance",62321,2014-09-12,Chris Evans
134,tt0457939,2016-07-10,2016-07-10,,The Holiday,https://www.imdb.com/title/tt0457939/,movie,6.9,136,2006,"Comedy, Romance",306297,2006-11-29,Nancy Meyers
135,tt0183790,2016-07-10,2016-07-10,,A Knight's Tale,https://www.imdb.com/title/tt0183790/,movie,6.9,132,2001,"Action, Adventure, Romance",197537,2001-03-08,Brian Helgeland
136,tt0838231,2016-07-10,2016-07-10,,Unfinished Sky,https://www.imdb.com/title/tt0838231/,movie,6.8,94,2007,"Drama, Romance",1287,2007-08-04,Peter Duncan
137,tt4104022,2016-07-10,2016-07-10,,People Places Things,https://www.imdb.com/title/tt4104022/,movie,6.8,85,2015,"Comedy, Romance",10912,2015-01-26,Jim Strouse
138,tt0104040,2016-07-10,2016-07-10,,The Cutting Edge,https://www.imdb.com/title/tt0104040/,movie,6.9,101,1992,"Comedy, Drama, Romance, Sport",21782,1992-03-27,Paul Michael Glaser
139,tt0092099,2016-07-10,2016-07-10,,Top Gun,https://www.imdb.com/title/tt0092099/,movie,6.9,109,1986,"Action, Drama",487883,1986-05-12,Tony Scott
140,tt0240890,2016-07-10,2016-07-10,,Serendipity,https://www.imdb.com/title/tt0240890/,movie,6.8,90,2001,"Comedy, Romance",118723,2001-09-13,Peter Chelsom
141,tt0375154,2016-07-10,2016-07-10,,Tristan + Isolde,https://www.imdb.com/title/tt0375154/,movie,6.8,125,2006,"Action, Drama, Romance, War",53876,2006-01-13,Kevin Reynolds
142,tt1261954,2016-07-16,2016-07-16,,Take Me Home,https://www.imdb.com/title/tt1261954/,movie,6.8,97,2011,"Comedy, Romance",7815,2011-04-19,Sam Jaeger
143,tt2912120,2016-07-10,2016-07-10,,The Young Kieslowski,https://www.imdb.com/title/tt2912120/,movie,6.5,94,2014,"Comedy, Drama, Romance",895,2014-06-14,Kerem Sanga
144,tt1606389,2016-07-10,2016-07-10,,The Vow,https://www.imdb.com/title/tt1606389/,movie,6.8,104,2012,"Drama, Romance",201531,2012-02-06,Michael Sucsy
